1. Număr încercări: 10, Cuvânt găsit: ICONOGRAFĂ, Status: OK, Litere încercate: A B E N C I O G F Ă
2. Număr încercări: 12, Cuvânt găsit: FAGOCITUL, Status: OK, Litere încercate: B S A O R H I F G T U L
3. Număr încercări: 5, Cuvânt găsit: APICOLILOR, Status: OK, Litere încercate: A I O L R
4. Număr încercări: 7, Cuvânt găsit: HIPOPLAZII, Status: OK, Litere încercate: E R P I L A Z
5. Număr încercări: 6, Cuvânt găsit: PROHODI, Status: OK, Litere încercate: G R T I P D
6. Număr încercări: 5, Cuvânt găsit: CIOPLEA, Status: OK, Litere încercate: A C I O E
7. Număr încercări: 10, Cuvânt găsit: COVÂRȘITELOR, Status: OK, Litere încercate: A D E C O Â R Ș T L
8. Număr încercări: 6, Cuvânt găsit: PÂRGUIRILE, Status: OK, Litere încercate: I Â R G L E
9. Număr încercări: 7, Cuvânt găsit: BURGHIERILE, Status: OK, Litere încercate: A G B U H I L
10. Număr încercări: 7, Cuvânt găsit: SAMAVOLNICII, Status: OK, Litere încercate: S A V O L N C
11. Număr încercări: 8, Cuvânt găsit: CĂȘĂIEȘTE, Status: OK, Litere încercate: B L N E C R Ș I
12. Număr încercări: 5, Cuvânt găsit: SISALUL, Status: OK, Litere încercate: A N I L U
13. Număr încercări: 5, Cuvânt găsit: CINERARIILE, Status: OK, Litere încercate: C I N E L
14. Număr încercări: 9, Cuvânt găsit: DEZAGLOMERĂM, Status: OK, Litere încercate: A L D E Z G O M Ă
15. Număr încercări: 6, Cuvânt găsit: TETRODĂ, Status: OK, Litere încercate: A C T E D O
16. Număr încercări: 10, Cuvânt găsit: MÂNJITURII, Status: OK, Litere încercate: A N C O F I M Â J T
17. Număr încercări: 9, Cuvânt găsit: DESOFISTICĂRII, Status: OK, Litere încercate: A R D S O I T C Ă
18. Număr încercări: 5, Cuvânt găsit: TĂIERI, Status: OK, Litere încercate: A M I Ă E
19. Număr încercări: 7, Cuvânt găsit: GENTILEȚILOR, Status: OK, Litere încercate: G E N T Ț O R
20. Număr încercări: 15, Cuvânt găsit: NENOROCITUL, Status: OK, Litere încercate: A P L C I M E H X D N O R T U
21. Număr încercări: 11, Cuvânt găsit: ÎNAINTĂ, Status: OK, Litere încercate: A F R L Y H Ș E Î N Ă
22. Număr încercări: 9, Cuvânt găsit: ISTMICUL, Status: OK, Litere încercate: A C R B U S I T M
23. Număr încercări: 9, Cuvânt găsit: ASCUȚITUNGHICUL, Status: OK, Litere încercate: A S Ț I T N G H L
24. Număr încercări: 6, Cuvânt găsit: OBNUBILĂRILOR, Status: OK, Litere încercate: B N U I L R
25. Număr încercări: 6, Cuvânt găsit: BUMBĂCELULUI, Status: OK, Litere încercate: B U M E L I
26. Număr încercări: 12, Cuvânt găsit: POSTĂVĂRIILE, Status: OK, Litere încercate: B U M C E P L O S T V I
27. Număr încercări: 11, Cuvânt găsit: CENTROZOMUL, Status: OK, Litere încercate: A R C N T I F U O Z M
28. Număr încercări: 6, Cuvânt găsit: DEBAVURASE, Status: OK, Litere încercate: A D E B V R
29. Număr încercări: 7, Cuvânt găsit: VRAMIȚE, Status: OK, Litere încercate: E C H M R A Ț
30. Număr încercări: 8, Cuvânt găsit: RETORI, Status: OK, Litere încercate: A L I N U R E O
31. Număr încercări: 7, Cuvânt găsit: EPISTOLARELOR, Status: OK, Litere încercate: A E P S T O R
32. Număr încercări: 9, Cuvânt găsit: ÎNCHIABUREAȚI, Status: OK, Litere încercate: Î N C I A U R E Ț
33. Număr încercări: 7, Cuvânt găsit: LAMINATOAREA, Status: OK, Litere încercate: O A M I N T R
34. Număr încercări: 9, Cuvânt găsit: PLATINEZ, Status: OK, Litere încercate: A R N G O P L T I
35. Număr încercări: 12, Cuvânt găsit: ȚĂNDĂRELEI, Status: OK, Litere încercate: A Z O E B U N F I Ț Ă L
36. Număr încercări: 11, Cuvânt găsit: TEVATURI, Status: OK, Litere încercate: A L H M B T E V U Ă I
37. Număr încercări: 7, Cuvânt găsit: FIDANȚATA, Status: OK, Litere încercate: E R A I N Ț T
38. Număr încercări: 10, Cuvânt găsit: EXONDĂRILE, Status: OK, Litere încercate: V A N S I X O D Ă R
39. Număr încercări: 8, Cuvânt găsit: DECOMANDATĂ, Status: OK, Litere încercate: C D E O N R T Ă
40. Număr încercări: 4, Cuvânt găsit: OMAGIALI, Status: OK, Litere încercate: A O G I
41. Număr încercări: 8, Cuvânt găsit: STÂLPISEM, Status: OK, Litere încercate: A U T S Â L I M
42. Număr încercări: 4, Cuvânt găsit: ELFILOR, Status: OK, Litere încercate: F I O R
43. Număr încercări: 7, Cuvânt găsit: DECONCERTANTELE, Status: OK, Litere încercate: D E O N R T L
44. Număr încercări: 4, Cuvânt găsit: GAGICULUI, Status: OK, Litere încercate: G A C L
45. Număr încercări: 10, Cuvânt găsit: APELARĂM, Status: OK, Litere încercate: B U D Z E I P R Ă M
46. Număr încercări: 9, Cuvânt găsit: SPERMATOFITELOR, Status: OK, Litere încercate: S P E R M A T I L
47. Număr încercări: 8, Cuvânt găsit: NECREDINCIOȘILOR, Status: OK, Litere încercate: H I N E C D Ș L
48. Număr încercări: 9, Cuvânt găsit: CINSTEȚUL, Status: OK, Litere încercate: A N C O Ț I E U L
